instance,solver,perturbation_scheme,replication,distance,processing_time
gr48.tsp,solve_tsp_simulated_annealing,ps2,0,6917.0,3.643079489469528
gr48.tsp,solve_tsp_local_search,ps2,0,7348.0,0.31421948224306107
gr48.tsp,solve_tsp_simulated_annealing,ps3,0,5555.0,6.266198560595512
gr48.tsp,solve_tsp_local_search,ps3,0,6503.0,0.8321779668331146
gr48.tsp,solve_tsp_simulated_annealing,ps4,0,5719.0,7.367835506796837
gr48.tsp,solve_tsp_local_search,ps4,0,5129.0,4.802084192633629
gr48.tsp,solve_tsp_simulated_annealing,ps5,0,5082.0,4.157403148710728
gr48.tsp,solve_tsp_local_search,ps5,0,5201.0,0.336601085960865
gr48.tsp,solve_tsp_simulated_annealing,ps6,0,5387.0,7.821906611323357
gr48.tsp,solve_tsp_local_search,ps6,0,5123.0,10.716729521751404
gr48.tsp,solve_tsp_simulated_annealing,two_opt,0,5274.0,2.3398057967424393
gr48.tsp,solve_tsp_local_search,two_opt,0,5273.0,0.3216625452041626
kroA150.tsp,solve_tsp_simulated_annealing,ps1,0,153817,42.68300727009773
kroA150.tsp,solve_tsp_local_search,ps1,0,185381,0.0975504070520401
kroA150.tsp,solve_tsp_simulated_annealing,ps2,0,51657,57.70815830677748
kroA150.tsp,solve_tsp_local_search,ps2,0,58136,14.582209758460522
kroA150.tsp,solve_tsp_simulated_annealing,ps3,0,35049,94.0734888240695
kroA150.tsp,solve_tsp_local_search,ps3,0,35243,40.717346385121346
kroA150.tsp,solve_tsp_simulated_annealing,ps4,0,36657,127.01699926704168
kroA150.tsp,solve_tsp_local_search,ps4,0,27814,300.00086618959904
kroA150.tsp,solve_tsp_simulated_annealing,ps5,0,28375,50.97812081873417
kroA150.tsp,solve_tsp_local_search,ps5,0,29441,7.104160286486149
kroA150.tsp,solve_tsp_simulated_annealing,ps6,0,39673,79.23282890766859
kroA150.tsp,solve_tsp_local_search,ps6,0,27715,300.00093069672585
kroA150.tsp,solve_tsp_simulated_annealing,two_opt,0,30207,28.316904723644257
kroA150.tsp,solve_tsp_local_search,two_opt,0,29973,10.20837578177452
u2319.tsp,solve_tsp_simulated_annealing,ps1,0,4324238,300.51574455946684
u2319.tsp,solve_tsp_local_search,ps1,0,4587603,24.27670820057392
u2319.tsp,solve_tsp_simulated_annealing,ps2,0,2557880,300.72540237754583
u2319.tsp,solve_tsp_local_search,ps2,0,2081127,300.002379283309
u2319.tsp,solve_tsp_simulated_annealing,ps3,0,2403748,300.94445376843214
u2319.tsp,solve_tsp_local_search,ps3,0,3174617,300.0072215348482
u2319.tsp,solve_tsp_simulated_annealing,ps4,0,2561917,301.2285030260682
u2319.tsp,solve_tsp_local_search,ps4,0,3140524,300.00960613042116
u2319.tsp,solve_tsp_simulated_annealing,ps5,0,1862899,300.74512515962124
u2319.tsp,solve_tsp_local_search,ps5,0,1140361,300.00836942344904
u2319.tsp,solve_tsp_simulated_annealing,ps6,0,2526306,301.24989771842957
u2319.tsp,solve_tsp_local_search,ps6,0,3166574,300.0097997710109
u2319.tsp,solve_tsp_simulated_annealing,two_opt,0,1895810,300.7179627344012
u2319.tsp,solve_tsp_local_search,two_opt,0,1201668,300.01361272484064
pr2392.tsp,solve_tsp_simulated_annealing,ps1,0,11288143,300.5374821051955
pr2392.tsp,solve_tsp_local_search,ps1,0,11750382,29.044275417923927
pr2392.tsp,solve_tsp_simulated_annealing,ps2,0,6329892,300.73140197247267
pr2392.tsp,solve_tsp_local_search,ps2,0,5244753,300.0026308000088
pr2392.tsp,solve_tsp_simulated_annealing,ps3,0,6586702,300.99219235777855
pr2392.tsp,solve_tsp_local_search,ps3,0,8342544,300.00811306387186
pr2392.tsp,solve_tsp_simulated_annealing,ps4,0,6357985,301.3088550120592
pr2392.tsp,solve_tsp_local_search,ps4,0,7939919,300.004945717752
pr2392.tsp,solve_tsp_simulated_annealing,ps5,0,4537249,300.7492737621069
pr2392.tsp,solve_tsp_local_search,ps5,0,3023080,300.0128178820014
pr2392.tsp,solve_tsp_simulated_annealing,ps6,0,6450899,301.28216402977705
pr2392.tsp,solve_tsp_local_search,ps6,0,8054358,300.00402896106243
pr2392.tsp,solve_tsp_simulated_annealing,two_opt,0,4687067,300.7482384368777
pr2392.tsp,solve_tsp_local_search,two_opt,0,3011761,300.0037258937955
pr1002.tsp,solve_tsp_simulated_annealing,ps1,0,4761855,300.21812143176794
pr1002.tsp,solve_tsp_local_search,ps1,0,4886843,4.311685852706432
pr1002.tsp,solve_tsp_simulated_annealing,ps2,0,1658684,300.3079762458801
pr1002.tsp,solve_tsp_local_search,ps2,0,1325054,300.0012784227729
pr1002.tsp,solve_tsp_simulated_annealing,ps3,0,1523610,300.4104645475745
pr1002.tsp,solve_tsp_local_search,ps3,0,1631034,300.0060194954276
pr1002.tsp,solve_tsp_simulated_annealing,ps4,0,1765852,300.5381406992674
pr1002.tsp,solve_tsp_local_search,ps4,0,1983288,300.0069726333022
pr1002.tsp,solve_tsp_simulated_annealing,ps5,0,775538,300.31621346622705
pr1002.tsp,solve_tsp_local_search,ps5,0,476991,300.00261460989714
pr1002.tsp,solve_tsp_simulated_annealing,ps6,0,1835702,300.5366481989622
pr1002.tsp,solve_tsp_local_search,ps6,0,1991468,300.00552443414927
pr1002.tsp,solve_tsp_simulated_annealing,two_opt,0,1224561,300.3160119727254
pr1002.tsp,solve_tsp_local_search,two_opt,0,481433,300.00719943642616
gr229.tsp,solve_tsp_simulated_annealing,ps1,0,890437362,96.6738171055913
gr229.tsp,solve_tsp_local_search,ps1,0,1032981831,0.2354632243514061
gr229.tsp,solve_tsp_simulated_annealing,ps2,0,272042330,138.76670497655869
gr229.tsp,solve_tsp_local_search,ps2,0,286535910,48.966346964240074
gr229.tsp,solve_tsp_simulated_annealing,ps3,0,191142067,247.32623856514692
gr229.tsp,solve_tsp_local_search,ps3,0,203038091,99.96996973454952
gr229.tsp,solve_tsp_simulated_annealing,ps4,0,207689448,234.29255240410566
gr229.tsp,solve_tsp_local_search,ps4,0,176130176,300.0003370940685
gr229.tsp,solve_tsp_simulated_annealing,ps5,0,145635990,93.46781001985073
gr229.tsp,solve_tsp_local_search,ps5,0,154244982,28.121946938335896
gr229.tsp,solve_tsp_simulated_annealing,ps6,0,210429212,220.98033150285482
gr229.tsp,solve_tsp_local_search,ps6,0,166490396,300.0024621710181
gr229.tsp,solve_tsp_simulated_annealing,two_opt,0,156193902,90.57515675574541
gr229.tsp,solve_tsp_local_search,two_opt,0,151159480,22.94053763151169
pr439.tsp,solve_tsp_simulated_annealing,ps1,0,1375235,300.0981963276863
pr439.tsp,solve_tsp_local_search,ps1,0,1487040,0.8005376309156418
pr439.tsp,solve_tsp_simulated_annealing,ps2,0,404096,300.13350290060043
pr439.tsp,solve_tsp_local_search,ps2,0,344213,300.0004726573825
pr439.tsp,solve_tsp_simulated_annealing,ps3,0,276866,300.182712726295
